EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,10,8,8,10,9,7,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,8,9,10,9,7,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,8,9,10,9,7,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,8,9,10,9,7,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,8,8,10,9,7,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,7,9,10,10,7,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,7,10,10,10,7,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,10,10,10,10,8,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,9,10,10,10,8,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,10,10,10,10,9,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
10,10,10,10,10,10,10,10,9,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
