EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,8,2,6,7,6,5,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
8,8,7,9,2,6,7,6,5,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
8,8,7,9,3,7,8,6,4,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
9,8,8,9,3,8,8,9,3,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
7,7,10,9,3,8,8,10,3,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
7,6,12,9,3,8,9,10,3,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
6,5,11,9,4,7,8,9,3,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
8,5,13,8,6,7,8,9,3,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
6,8,11,6,6,8,6,10,4,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
7,8,11,6,6,7,6,6,4,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
7,8,12,5,8,6,6,9,4,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
