EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,7,5,5,6,5,2,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,9,8,7,6,5,6,5,2,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,8,8,7,6,5,6,5,2,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,8,10,8,6,6,8,6,2,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,8,9,8,6,7,9,7,2,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,9,9,7,5,9,8,8,3,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,7,9,9,5,9,8,7,3,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,8,8,6,4,5,9,6,3,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,8,9,7,4,5,7,8,5,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,8,7,8,5,6,6,7,5,11,meremees; radar; merehariduskeskus; rannavalve; territoriaalvesi; veetee; päästeoperatsioon; hüdrodünaamika; liikluskontroll; kiirkaater; amet
7,6,6,5,6,5,6,5,4,11,meremees; radar; merehariduskeskus; kiirkaater; rannavalve; territoriaalvesi; päästeoperatsioon; hüdrodünaamika; liikluskontroll; veetee; amet
