EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,6,4,6,6,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
6,4,4,6,4,6,6,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
6,4,4,6,4,6,6,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
5,5,5,6,4,6,6,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
5,4,5,6,4,6,6,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
5,4,5,6,5,6,6,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
5,5,5,6,6,6,5,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
6,5,5,6,6,6,5,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
6,5,5,6,6,6,5,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
6,6,6,6,6,6,4,5,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
6,6,5,6,6,6,4,6,6,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
