EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,11,12,11,11,10,12,11,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
12,9,11,12,11,11,10,12,11,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
12,9,10,12,11,11,10,12,11,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
12,8,10,12,11,11,10,12,11,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
12,8,11,12,12,11,11,12,11,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
12,8,11,12,11,10,11,12,11,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
12,7,11,9,11,12,11,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
9,7,11,11,11,12,11,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
10,7,12,11,11,12,11,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
10,7,12,12,10,12,11,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
10,10,12,12,10,11,11,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
