EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,10,11,11,5,10,9,8,10,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
13,10,11,11,5,10,9,8,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
13,10,11,11,5,10,9,8,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
13,10,10,11,5,11,9,9,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
12,10,12,11,5,12,11,11,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
13,10,12,12,5,11,13,13,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
9,11,12,12,7,11,13,10,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
11,10,11,9,9,13,12,12,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
11,13,11,10,10,9,12,13,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; haridus; keelepoliitika; teadusministeerium; tööturupoliitika; põhialune
11,12,10,10,12,9,13,12,9,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
9,10,11,9,12,11,11,12,11,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
