lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
sama;DET;O;7;yes;1115714;8801;932062935
aeg;NOUN;O;21;no;2435622;8801;932062935
just;ADV;O;4;yes;809252;8801;932062935
hetk;NOUN;O;12;no;667812;8801;932062935
kus;ADV;O;20;yes;1607926;8801;932062935
vaja;ADV;O;7;no;695844;8801;932062935
pila;NOUN;O;1;no;420;8801;932062935
kümmekond;NUM;O;1;no;19287;8801;932062935
tõsine;ADJ;O;3;no;97663;8801;932062935
majandusfilosoofiline;ADJ;O;1;no;0;8801;932062935
konverents;NOUN;O;1;no;75048;8801;932062935
küsima;VERB;O;3;no;448244;8801;932062935
kuhu;ADV;O;2;yes;274408;8801;932062935
minema;VERB;O;34;yes;2265871;8801;932062935
ega;ADV;O;15;yes;707621;8801;932062935
kampaania;NOUN;O;1;no;80905;8801;932062935
vedama;VERB;O;1;no;120954;8801;932062935
pigem;ADV;O;5;yes;327626;8801;932062935
nagu;SCONJ;O;65;yes;1699877;8801;932062935
inimene;NOUN;O;9;no;2519709;8801;932062935
meelsus;NOUN;O;1;no;4435;8801;932062935
väljendamine;NOUN;O;1;no;7023;8801;932062935
kes;PRON;O;42;yes;3572036;8801;932062935
nõus;ADV;O;7;no;108257;8801;932062935
no;INTJ;O;9;no;315405;8801;932062935
siin;ADV;O;38;yes;842300;8801;932062935
kümme;NUM;O;1;no;215021;8801;932062935
majanduskonverents;NOUN;O;2;no;305;8801;932062935
eriti;ADV;O;7;no;605323;8801;932062935
filosoofiline;ADJ;O;1;no;10205;8801;932062935
milline;ADJ;O;6;yes;639709;8801;932062935
hädaorg;NOUN;O;2;no;461;8801;932062935
tee;NOUN;O;1;yes;634224;8801;932062935
sõna;NOUN;O;4;no;862366;8801;932062935
otsene;ADJ;O;3;no;69710;8801;932062935
arvama;VERB;O;13;no;778296;8801;932062935
?;PUNCT;O;22;no;0;8801;932062935
niimoodi;ADV;O;2;yes;68305;8801;932062935
väljaspool;ADP;O;2;yes;61630;8801;932062935
tõepoolest;ADV;O;5;no;73132;8801;932062935
sest;SCONJ;O;22;yes;1380142;8801;932062935
kui;SCONJ;O;92;yes;8878634;8801;932062935
kunagine;ADJ;O;2;no;41064;8801;932062935
nii-öelda;ADV;O;21;no;15927;8801;932062935
tiiger;NOUN;O;1;no;6194;8801;932062935
Iirimaa;PROPN;O;16;no;18695;8801;932062935
kuulutama;VERB;O;2;no;85376;8801;932062935
pankrot;NOUN;O;5;no;14559;8801;932062935
välja;ADV;O;28;yes;1817185;8801;932062935
sisuliselt;ADV;O;3;no;66198;8801;932062935
täna;ADV;O;20;no;614088;8801;932062935
lugema;VERB;O;4;no;754112;8801;932062935
Airis;PROPN;O;1;no;0;8801;932062935
Times;PROPN;O;3;no;15168;8801;932062935
hommik;NOUN;O;1;no;258753;8801;932062935
Iiri;PROPN;O;4;no;5992;8801;932062935
valitsus;NOUN;O;13;no;313677;8801;932062935
kukkuma;VERB;O;6;no;136126;8801;932062935
pankrotihüüe;NOUN;O;1;no;0;8801;932062935
järgmine;ADJ;O;4;yes;661747;8801;932062935
kukkuja;NOUN;O;2;no;474;8801;932062935
väga;ADV;O;44;yes;2222237;8801;932062935
Portugal;PROPN;O;8;no;29348;8801;932062935
Wall;PROPN;O;2;no;6261;8801;932062935
Street;PROPN;O;2;no;11213;8801;932062935
Journal;PROPN;O;1;no;7789;8801;932062935
uudis;NOUN;O;1;no;165123;8801;932062935
hirmuäratav;ADJ;O;1;no;5076;8801;932062935
ajakirjanik;NOUN;O;1;no;89924;8801;932062935
Martin;PROPN;O;1;no;96473;8801;932062935
tema;PRON;O;83;yes;9154483;8801;932062935
nüüd;ADV;O;35;yes;1119277;8801;932062935
Hispaania;PROPN;O;5;no;81350;8801;932062935
saama;AUX;O;30;yes;7285093;8801;932062935
välistama;VERB;O;3;no;50171;8801;932062935
kiiresti;ADV;O;2;no;218763;8801;932062935
tervik;NOUN;O;1;no;60873;8801;932062935
majandus;NOUN;O;22;no;135278;8801;932062935
nii;ADV;O;48;yes;3430987;8801;932062935
ennustama;VERB;O;4;no;42517;8801;932062935
saksa;ADJ;O;3;no;68213;8801;932062935
maksumaksja;NOUN;O;4;no;20465;8801;932062935
koorem;NOUN;O;1;no;19656;8801;932062935
valmis;ADJ;O;1;no;313140;8801;932062935
ise;PRON;O;24;yes;3509459;8801;932062935
peale;ADP;O;5;yes;1209468;8801;932062935
võtma;VERB;O;23;no;2139597;8801;932062935
selline;ADJ;O;8;yes;1661084;8801;932062935
emotsionaalne;ADJ;O;3;no;39515;8801;932062935
tore;ADJ;O;5;no;248583;8801;932062935
arusaadav;ADJ;O;3;no;30929;8801;932062935
kõik;PRON;O;16;yes;3138760;8801;932062935
tegelikult;ADV;O;29;no;475760;8801;932062935
ka;ADV;O;65;yes;7941300;8801;932062935
seal;ADV;O;23;yes;911658;8801;932062935
taga;ADV;O;1;yes;249035;8801;932062935
riik;NOUN;O;52;no;937782;8801;932062935
pärast;ADP;O;12;yes;1109488;8801;932062935
probleem;NOUN;O;21;no;549960;8801;932062935
suuresti;ADV;O;1;no;36375;8801;932062935
mõjutama;VERB;O;4;no;192266;8801;932062935
vähem;ADV;O;5;no;307272;8801;932062935
ega;CCONJ;O;2;yes;707621;8801;932062935
rohkem;ADV;O;5;yes;1093000;8801;932062935
kas;ADV;O;29;yes;1985401;8801;932062935
vastupidi;ADV;O;2;no;58537;8801;932062935
väitma;VERB;O;3;no;138121;8801;932062935
mitteolemine;NOUN;O;1;no;312;8801;932062935
püsimajäämine;NOUN;O;1;no;3160;8801;932062935
suurem;ADJ;O;4;no;677819;8801;932062935
