lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
tere;INTJ;O;1;yes;150469;367;932062935
hommik;NOUN;O;1;no;258753;367;932062935
,;PUNCT;O;29;no;0;367;932062935
mina;PRON;O;21;yes;11780658;367;932062935
olema;AUX;O;15;yes;44175173;367;932062935
Eesti;PROPN;O;1;no;2594139;367;932062935
Evangeelse;PROPN;O;1;no;0;367;932062935
Luterlik;PROPN;O;1;no;1385;367;932062935
kirik;NOUN;O;1;no;225735;367;932062935
emeriitõpetaja;NOUN;O;1;no;246;367;932062935
Jüri;PROPN;O;1;no;95487;367;932062935
Raudsep;PROPN;O;1;no;359;367;932062935
.;PUNCT;O;30;no;0;367;932062935
hommikupalvus;NOUN;O;1;no;406;367;932062935
alus;NOUN;O;1;no;349598;367;932062935
panema;VERB;O;1;no;1364289;367;932062935
tähele;ADV;O;1;no;57655;367;932062935
jumal;NOUN;O;2;no;91929;367;932062935
sõna;NOUN;O;1;no;862366;367;932062935
Johannes;PROPN;O;1;no;34682;367;932062935
evangeelium;NOUN;O;1;no;12273;367;932062935
kaheksas;ADJ;O;1;no;18966;367;932062935
peatükk;NOUN;O;1;no;41966;367;932062935
33.-st;ADJ;O;1;no;0;367;932062935
kuni;CCONJ;O;1;yes;831401;367;932062935
36.;ADJ;O;1;no;0;367;932062935
Salmin;PROPN;O;1;no;57;367;932062935
tema;PRON;O;5;yes;9154483;367;932062935
kostma;VERB;O;2;no;27507;367;932062935
jeesus;NOUN;O;1;no;2997;367;932062935
naabraam;NOUN;O;1;no;0;367;932062935
sugu;NOUN;O;1;no;33395;367;932062935
ega;CCONJ;O;2;yes;707621;367;932062935
veel;ADV;O;1;yes;1875606;367;932062935
iialgi;ADV;O;1;yes;10714;367;932062935
keegi;PRON;O;1;yes;909915;367;932062935
orgama;VERB;O;1;no;0;367;932062935
kuidas;ADV;O;1;yes;1317035;367;932062935
sina;PRON;O;13;yes;3743020;367;932062935
siis;ADV;O;5;yes;4824773;367;932062935
ütlema;VERB;O;3;no;1762423;367;932062935
saama;VERB;O;3;yes;7285093;367;932062935
vabaksJeesus;ADJ;O;1;no;0;367;932062935
tõesti;ADV;O;2;yes;299939;367;932062935
et;SCONJ;O;3;yes;12213661;367;932062935
igaüks;PRON;O;1;yes;131126;367;932062935
kes;PRON;O;7;yes;3572036;367;932062935
tegema;VERB;O;4;yes;3824200;367;932062935
padu;NOUN;O;2;no;257;367;932062935
patt;NOUN;O;3;no;24591;367;932062935
ori;NOUN;O;3;no;11622;367;932062935
ent;CCONJ;O;1;yes;212537;367;932062935
ei;AUX;O;1;yes;10355923;367;932062935
jääma;VERB;O;1;no;1700272;367;932062935
maja;NOUN;O;1;no;415392;367;932062935
igavesti;ADV;O;2;no;16067;367;932062935
kui;SCONJ;O;2;yes;8878634;367;932062935
nüüd;ADV;O;2;yes;1119277;367;932062935
poeg;NOUN;O;2;no;146285;367;932062935
vaba;ADJ;O;4;no;244447;367;932062935
õieti;ADV;O;2;no;23352;367;932062935
pattuma;VERB;O;1;no;0;367;932062935
vaenulik;ADJ;O;1;no;7007;367;932062935
jõud;NOUN;O;2;no;199755;367;932062935
südamepõhi;NOUN;O;1;no;805;367;932062935
ase;NOUN;O;1;no;67001;367;932062935
võtma;VERB;O;2;no;2139597;367;932062935
ning;CCONJ;O;1;yes;5766748;367;932062935
sealt;ADV;O;1;yes;262867;367;932062935
nähtamatu;ADJ;O;1;no;18062;367;932062935
kanal;NOUN;O;1;no;79009;367;932062935
pidama;AUX;O;1;yes;3575612;367;932062935
kogu;DET;O;1;yes;810088;367;932062935
olemus;NOUN;O;1;no;63232;367;932062935
meel;NOUN;O;1;no;390199;367;932062935
ja;CCONJ;O;15;yes;29978049;367;932062935
mõte;NOUN;O;1;no;596277;367;932062935
mürgitama;VERB;O;1;no;4163;367;932062935
tahtma;NOUN;O;1;no;1254286;367;932062935
käitumine;NOUN;O;1;no;100562;367;932062935
vangistama;VERB;O;1;no;2857;367;932062935
halvim;ADJ;O;1;no;12354;367;932062935
see;PRON;O;3;yes;18818291;367;932062935
patune;NOUN;O;2;no;5185;367;932062935
lisa;VERB;O;1;no;915167;367;932062935
kangekaelsus;NOUN;O;1;no;711;367;932062935
kinni;ADV;O;1;no;325823;367;932062935
hoidma;VERB;O;1;no;581451;367;932062935
kuigi;SCONJ;O;1;yes;498107;367;932062935
tundma;VERB;O;1;no;633300;367;932062935
teadma;VERB;O;1;no;1482699;367;932062935
kuiv;ADJ;O;1;no;86431;367;932062935
vilets;ADJ;O;1;no;13471;367;932062935
stamitee;NOUN;O;1;no;0;367;932062935
see;DET;O;1;yes;18818291;367;932062935
tee;NOUN;O;2;yes;634224;367;932062935
sattuma;VERB;O;1;no;202967;367;932062935
lõpuks;ADV;O;1;no;285373;367;932062935
orjus;NOUN;O;1;no;3221;367;932062935
põgenema;VERB;O;1;no;38038;367;932062935
tige;ADJ;O;1;no;7586;367;932062935
esimene;ADJ;O;1;no;1420248;367;932062935
tunnus;NOUN;O;1;no;35820;367;932062935
ilmnemine;NOUN;O;1;no;6240;367;932062935
ära;AUX;O;2;yes;1430862;367;932062935
laskma;VERB;O;1;no;478673;367;932062935
hakkama;VERB;O;1;yes;1534193;367;932062935
oma;PRON;O;3;yes;4535142;367;932062935
valitsema;VERB;O;1;no;53352;367;932062935
patusulane;NOUN;O;1;no;0;367;932062935
