lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
Installin;PROPN;O;1;no;0;2773;932062935
kuulama;VERB;O;3;no;202795;2773;932062935
Ringvaade;PROPN;O;3;no;902;2773;932062935
,;PUNCT;O;220;no;0;2773;932062935
tänane;ADJ;O;5;no;180017;2773;932062935
Eesti;PROPN;O;7;no;2594139;2773;932062935
.;PUNCT;O;149;no;0;2773;932062935
köik;ADV;O;1;no;5812;2773;932062935
rohitama;VERB;O;1;no;0;2773;932062935
õitsema;VERB;O;1;no;21615;2773;932062935
sumisema;VERB;O;1;no;1356;2773;932062935
ja;CCONJ;O;114;yes;29978049;2773;932062935
laulma;VERB;O;2;no;85836;2773;932062935
olema;AUX;O;128;yes;44175173;2773;932062935
südasuvi;NOUN;O;1;no;1151;2773;932062935
jaanipäev;NOUN;O;11;no;15059;2773;932062935
kuukletama;VERB;O;1;no;0;2773;932062935
juba;ADV;O;24;yes;1850492;2773;932062935
gustav;ADJ;O;1;no;40;2773;932062935
küla;NOUN;O;2;no;269054;2773;932062935
tagant;ADP;O;1;yes;87922;2773;932062935
ainult;ADV;O;8;yes;947442;2773;932062935
muiste;NOUN;O;2;no;1782;2773;932062935
karjapasun;NOUN;O;1;no;77;2773;932062935
kutsuma;VERB;O;2;no;330462;2773;932062935
hääl;NOUN;O;2;no;194777;2773;932062935
minema;VERB;O;11;yes;2265871;2773;932062935
mööda;ADP;O;1;yes;208450;2773;932062935
lõhnav;ADJ;O;1;no;6433;2773;932062935
kase;NOUN;O;1;no;0;2773;932062935
salu;NOUN;O;1;no;1449;2773;932062935
haljendav;ADJ;O;1;no;241;2773;932062935
põlluradu;NOUN;O;1;no;0;2773;932062935
kirev;ADJ;O;1;no;7271;2773;932062935
rõivas;NOUN;O;1;no;23914;2773;932062935
neiu;NOUN;O;3;no;39228;2773;932062935
lillepärg;NOUN;O;2;no;343;2773;932062935
pea;NOUN;O;7;yes;490501;2773;932062935
tulema;VERB;O;22;yes;3338518;2773;932062935
nooruk;NOUN;O;1;no;12453;2773;932062935
pillija;NOUN;O;1;no;0;2773;932062935
kaljas;NOUN;O;1;no;261;2773;932062935
anker;NOUN;O;1;no;0;2773;932062935
astuma;VERB;O;2;no;216142;2773;932062935
väärikalt;ADV;O;1;no;5700;2773;932062935
aat;NOUN;O;1;no;30;2773;932062935
tossav;ADJ;O;1;no;518;2773;932062935
piib;NOUN;O;1;no;18;2773;932062935
suu;NOUN;O;1;no;113824;2773;932062935
jaanisaunastusetav;ADJ;O;1;no;0;2773;932062935
memme;NOUN;O;1;no;0;2773;932062935
et;SCONJ;O;34;yes;12213661;2773;932062935
koos;ADP;O;1;yes;875375;2773;932062935
noor;NOUN;O;2;no;546822;2773;932062935
noor;ADJ;O;2;no;546822;2773;932062935
lendama;VERB;O;1;no;110782;2773;932062935
kiik;NOUN;O;1;no;8382;2773;932062935
tuul;NOUN;O;2;no;112071;2773;932062935
iil;NOUN;O;1;no;629;2773;932062935
taevas;NOUN;O;2;no;75586;2773;932062935
alla;ADP;O;2;yes;632630;2773;932062935
käima;VERB;O;5;no;1068258;2773;932062935
ringi;ADV;O;1;yes;164794;2773;932062935
vahu;NOUN;O;1;no;0;2773;932062935
kobrutama;VERB;O;1;no;513;2773;932062935
kann;NOUN;O;1;no;8790;2773;932062935
kõrisema;VERB;O;1;no;470;2773;932062935
kannel;NOUN;O;1;no;4429;2773;932062935
mürtsuma;VERB;O;1;no;467;2773;932062935
muru;NOUN;O;1;no;31226;2773;932062935
vägev;ADJ;O;2;no;23307;2773;932062935
jaani;ADJ;O;1;no;0;2773;932062935
polkas;NOUN;O;1;no;0;2773;932062935
nii;ADV;O;20;yes;3430987;2773;932062935
see;PRON;O;42;yes;18818291;2773;932062935
kauge;ADJ;O;3;no;27587;2773;932062935
minevik;NOUN;O;1;no;55211;2773;932062935
ka;ADV;O;11;yes;7941300;2773;932062935
tänavune;ADJ;O;1;no;60961;2773;932062935
jaanipidustus;NOUN;O;1;no;119;2773;932062935
kõikjal;ADV;O;1;no;34391;2773;932062935
nõukogu;NOUN;O;1;no;194580;2773;932062935
veel;ADV;O;8;yes;1875606;2773;932062935
laiem;ADJ;O;1;no;58675;2773;932062935
rõõmsam;ADJ;O;1;no;6265;2773;932062935
hoogsam;ADJ;O;1;no;758;2773;932062935
viis;NOUN;O;1;no;476277;2773;932062935
kes;PRON;O;5;yes;3572036;2773;932062935
jõudma;VERB;O;3;no;869599;2773;932062935
loendama;VERB;O;1;no;4657;2773;932062935
kõik;DET;O;12;yes;3138760;2773;932062935
kaunim;ADJ;O;1;no;10094;2773;932062935
paik;NOUN;O;2;no;189335;2773;932062935
kus;ADV;O;5;yes;1607926;2773;932062935
eile;ADV;O;1;no;200664;2773;932062935
õhtu;NOUN;O;3;no;322860;2773;932062935
süttima;VERB;O;5;no;15888;2773;932062935
jaanitus;NOUN;O;2;no;0;2773;932062935
iga;DET;O;8;yes;1374684;2773;932062935
kolhoos;NOUN;O;6;no;12589;2773;932062935
linnasaar;NOUN;O;1;no;13;2773;932062935
laid;NOUN;O;1;no;4659;2773;932062935
rõkkama;VERB;O;2;no;1128;2773;932062935
lõbus;ADJ;O;1;no;56623;2773;932062935
