lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
tere;INTJ;O;1;yes;150469;5516;932062935
,;PUNCT;O;628;no;0;5516;932062935
mina;PRON;O;234;yes;11780658;5516;932062935
olema;AUX;O;284;yes;44175173;5516;932062935
Kristi;PROPN;O;1;no;20223;5516;932062935
Aule;PROPN;O;1;no;1083;5516;932062935
ja;CCONJ;O;161;yes;29978049;5516;932062935
tänane;ADJ;O;1;no;180017;5516;932062935
karikakramängusaade;NOUN;O;1;no;0;5516;932062935
rääkima;VERB;O;10;no;1111753;5516;932062935
armastus;NOUN;O;4;no;148385;5516;932062935
üks;DET;O;11;yes;3226979;5516;932062935
eriala;NOUN;O;15;no;74160;5516;932062935
vastu;ADP;O;1;yes;1054024;5516;932062935
hea;ADJ;O;24;no;1639322;5516;932062935
kuulamine;NOUN;O;1;no;24756;5516;932062935
.;PUNCT;O;179;no;0;5516;932062935
sina;PRON;O;105;yes;3743020;5516;932062935
õppima;VERB;O;22;no;353366;5516;932062935
Tallinn;PROPN;O;1;no;819246;5516;932062935
kool;NOUN;O;40;no;581408;5516;932062935
üheteistkümnes;ADJ;O;1;no;2065;5516;932062935
klass;NOUN;O;17;no;252821;5516;932062935
ka;ADV;O;44;yes;7941300;5516;932062935
huvitav;ADJ;O;8;no;292581;5516;932062935
mis;PRON;O;47;yes;9028438;5516;932062935
mujal;ADV;O;1;yes;80759;5516;932062935
võib-olla;ADV;O;13;yes;138681;5516;932062935
vähem;ADV;O;2;no;307272;5516;932062935
kas;ADV;O;33;yes;1985401;5516;932062935
tulema;VERB;O;32;yes;3338518;5516;932062935
sellepärast;ADV;O;12;yes;114174;5516;932062935
see;DET;O;44;yes;18818291;5516;932062935
keskkool;NOUN;O;11;no;32881;5516;932062935
ametlik;ADJ;O;1;no;95530;5516;932062935
nimi;NOUN;O;1;no;536165;5516;932062935
tele;NOUN;O;6;no;7904;5516;932062935
raadio;NOUN;O;9;no;57204;5516;932062935
žurnalistika;NOUN;O;1;no;76;5516;932062935
näiteks;ADV;O;26;no;259375;5516;932062935
küll;ADV;O;16;yes;1080941;5516;932062935
jah;ADV;O;16;yes;412789;5516;932062935
just;ADV;O;17;yes;809252;5516;932062935
nimelt;ADV;O;3;no;163533;5516;932062935
pärast;ADP;O;5;yes;1109488;5516;932062935
huvitama;VERB;O;4;no;141970;5516;932062935
väga;ADV;O;45;yes;2222237;5516;932062935
tahtma;VERB;O;35;no;1254286;5516;932062935
saama;VERB;O;40;yes;7285093;5516;932062935
kui;SCONJ;O;56;yes;8878634;5516;932062935
nägema;VERB;O;12;no;1467770;5516;932062935
eriti;ADV;O;15;no;605323;5516;932062935
osav;ADJ;O;1;no;13159;5516;932062935
reporter;NOUN;O;1;no;14543;5516;932062935
või;CCONJ;O;18;yes;4113697;5516;932062935
kes;PRON;O;15;yes;3572036;5516;932062935
keegi;PRON;O;12;yes;909915;5516;932062935
selline;PRON;O;1;yes;1661084;5516;932062935
nagu;SCONJ;O;89;yes;1699877;5516;932062935
algus;NOUN;O;7;no;553351;5516;932062935
peale;ADV;O;5;yes;1209468;5516;932062935
käima;VERB;O;26;no;1068258;5516;932062935
siis;ADV;O;85;yes;4824773;5516;932062935
üldse;ADV;O;12;no;442326;5516;932062935
pidama;AUX;O;27;yes;3575612;5516;932062935
minema;VERB;O;41;yes;2265871;5516;932062935
sinna;ADV;O;13;yes;368268;5516;932062935
jääma;VERB;O;10;no;1700272;5516;932062935
vihkama;VERB;O;2;no;23759;5516;932062935
vahetus;NOUN;O;2;no;87047;5516;932062935
põhjus;NOUN;O;1;no;400878;5516;932062935
see;PRON;O;134;yes;18818291;5516;932062935
et;SCONJ;O;205;yes;12213661;5516;932062935
edasi;ADV;O;20;yes;598918;5516;932062935
meeldima;VERB;O;11;no;469613;5516;932062935
muidugi;ADV;O;17;yes;424562;5516;932062935
mammune;ADJ;O;1;no;0;5516;932062935
aga;CCONJ;O;47;yes;4543343;5516;932062935
noh;INTJ;O;74;yes;115252;5516;932062935
kena;ADJ;O;4;no;89163;5516;932062935
tore;ADJ;O;9;no;248583;5516;932062935
nii;ADV;O;41;yes;3430987;5516;932062935
tähendama;VERB;O;20;no;444609;5516;932062935
ise;PRON;O;24;yes;3509459;5516;932062935
ei;AUX;O;100;yes;10355923;5516;932062935
ajakirjanik;NOUN;O;2;no;89924;5516;932062935
näitleja;NOUN;O;6;no;85171;5516;932062935
niisugune;DET;O;1;yes;62699;5516;932062935
andma;VERB;O;10;no;1683851;5516;932062935
palju;ADV;O;21;yes;2032422;5516;932062935
juurde;ADV;O;3;yes;555179;5516;932062935
iga;DET;O;7;yes;1374684;5516;932062935
pool;ADV;O;5;yes;616839;5516;932062935
jutt;NOUN;O;1;no;337829;5516;932062935
inimene;NOUN;O;28;no;2519709;5516;932062935
lõbustama;VERB;O;2;no;3983;5516;932062935
asi;NOUN;O;25;no;1422865;5516;932062935
seal;ADV;O;25;yes;911658;5516;932062935
elu;NOUN;O;15;no;946740;5516;932062935
rõõm;NOUN;O;6;no;141032;5516;932062935
tundma;VERB;O;6;no;633300;5516;932062935
mäletama;VERB;O;3;no;147820;5516;932062935
tegelikult;ADV;O;8;no;475760;5516;932062935
kaheksane;DET;O;1;no;1166;5516;932062935
selg;NOUN;O;1;no;164973;5516;932062935
põhinema;VERB;O;1;no;73932;5516;932062935
pärast;ADV;O;5;yes;1109488;5516;932062935
ajakirjandus;NOUN;O;2;no;46678;5516;932062935
lõpetama;VERB;O;4;no;317669;5516;932062935
mingi;DET;O;17;yes;1065354;5516;932062935
põhi;NOUN;O;1;no;119247;5516;932062935
avastama;VERB;O;1;no;158103;5516;932062935
ikka;ADV;O;25;yes;1123255;5516;932062935
õudselt;ADV;O;2;no;2004;5516;932062935
heaanne;NOUN;O;1;no;0;5516;932062935
särama;VERB;O;1;no;29506;5516;932062935
esinema;VERB;O;1;no;186435;5516;932062935
kah;ADV;O;1;yes;106402;5516;932062935
kõik;PRON;O;28;yes;3138760;5516;932062935
kuulma;VERB;O;5;no;283532;5516;932062935
ütlema;VERB;O;26;no;1762423;5516;932062935
vot;ADV;O;2;yes;36142;5516;932062935
siin;ADV;O;10;yes;842300;5516;932062935
nüüd;ADV;O;14;yes;1119277;5516;932062935
konkurss;NOUN;O;2;no;91363;5516;932062935
pääsema;VERB;O;1;no;185619;5516;932062935
?;PUNCT;O;35;no;0;5516;932062935
mingisugune;DET;O;3;yes;53640;5516;932062935
arust;ADP;O;22;no;47573;5516;932062935
vetika;NOUN;O;1;no;0;5516;932062935
vastu;ADV;O;2;yes;1054024;5516;932062935
teadma;VERB;O;14;no;1482699;5516;932062935
reklaamitud;VERB;O;1;no;1756;5516;932062935
hulga;ADV;O;1;no;10324;5516;932062935
suurem;ADJ;O;1;no;677819;5516;932062935
meelest;ADP;O;5;yes;91489;5516;932062935
selline;DET;O;16;yes;1661084;5516;932062935
ala;NOUN;O;5;no;238521;5516;932062935
täiesti;ADV;O;2;yes;326019;5516;932062935
tavaline;ADJ;O;5;no;197660;5516;932062935
tema;PRON;O;55;yes;9154483;5516;932062935
eripärane;ADJ;O;1;no;2935;5516;932062935
eriline;ADJ;O;8;no;186814;5516;932062935
jaoks;ADP;O;10;yes;839645;5516;932062935
täitsa;ADV;O;2;no;121392;5516;932062935
lihtsalt;ADV;O;14;no;748671;5516;932062935
eraldi;ADV;O;1;no;186414;5516;932062935
erialane;ADJ;O;1;no;20907;5516;932062935
raadiomaja;NOUN;O;1;no;729;5516;932062935
mõte;NOUN;O;11;no;596277;5516;932062935
teine;PRON;O;4;yes;2482902;5516;932062935
humanitaar;NOUN;O;1;no;2514;5516;932062935
reaali;NOUN;O;1;no;0;5516;932062935
