lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
kool;NOUN;O;4;no;581408;6180;932062935
.;PUNCT;O;252;no;0;6180;932062935
täna;ADV;O;1;no;614088;6180;932062935
olema;AUX;O;289;yes;44175173;6180;932062935
väga;ADV;O;26;yes;2222237;6180;932062935
eriline;ADJ;O;2;no;186814;6180;932062935
õhtu;NOUN;O;9;no;322860;6180;932062935
kõik;DET;O;16;yes;3138760;6180;932062935
arvuti;NOUN;O;1;no;167999;6180;932062935
välja;ADV;O;19;yes;1817185;6180;932062935
lülitama;VERB;O;2;no;59276;6180;932062935
Powerpoint;PROPN;O;1;no;370;6180;932062935
,;PUNCT;O;634;no;0;6180;932062935
käsikiri;NOUN;O;1;no;12453;6180;932062935
panema;VERB;O;19;no;1364289;6180;932062935
põlema;VERB;O;5;no;76465;6180;932062935
küla;NOUN;O;5;no;269054;6180;932062935
professor;NOUN;O;1;no;52194;6180;932062935
Ülo;PROPN;O;2;no;14013;6180;932062935
Voogla;PROPN;O;2;no;192;6180;932062935
kes;PRON;O;15;yes;3572036;6180;932062935
rääkima;VERB;O;10;no;1111753;6180;932062935
see;PRON;O;155;yes;18818291;6180;932062935
kuidas;ADV;O;30;yes;1317035;6180;932062935
vanaisa;NOUN;O;16;no;28933;6180;932062935
tarkus;NOUN;O;1;no;34293;6180;932062935
aitama;VERB;O;5;no;740996;6180;932062935
tema;PRON;O;59;yes;9154483;6180;932062935
kasvama;VERB;O;5;no;318848;6180;932062935
inimene;NOUN;O;16;no;2519709;6180;932062935
mina;PRON;O;89;yes;11780658;6180;932062935
täiesti;ADV;O;4;yes;326019;6180;932062935
õnn;NOUN;O;3;no;253525;6180;932062935
poolest;ADP;O;3;yes;112711;6180;932062935
eriti;ADV;O;2;no;605323;6180;932062935
palju;ADV;O;11;yes;2032422;6180;932062935
et;SCONJ;O;102;yes;12213661;6180;932062935
suurepärane;ADJ;O;1;no;186240;6180;932062935
tali;NOUN;O;1;no;9650;6180;932062935
Saaremaa;PROPN;O;8;no;174995;6180;932062935
tuntud;ADJ;O;1;no;150304;6180;932062935
sepp;NOUN;O;1;no;6960;6180;932062935
ja;CCONJ;O;337;yes;29978049;6180;932062935
oma;PRON;O;13;yes;4535142;6180;932062935
ala;NOUN;O;1;no;238521;6180;932062935
hea;ADJ;O;6;no;1639322;6180;932062935
meister;NOUN;O;1;no;81361;6180;932062935
oskama;VERB;O;11;no;442667;6180;932062935
chipp;NOUN;O;1;no;1108;6180;932062935
pääst;NOUN;O;1;no;73;6180;932062935
lihtsalt;ADV;O;6;no;748671;6180;932062935
kõik;PRON;O;36;yes;3138760;6180;932062935
kaasa;ADV;O;3;no;515534;6180;932062935
arvatud;ADJ;O;1;no;0;6180;932062935
niukne;ADJ;O;11;no;130;6180;932062935
vikat;NOUN;O;2;no;2774;6180;932062935
mis;PRON;O;75;yes;9028438;6180;932062935
siis;ADV;O;134;yes;4824773;6180;932062935
ka;ADV;O;48;yes;7941300;6180;932062935
tegema;VERB;O;48;yes;3824200;6180;932062935
seal;ADV;O;29;yes;911658;6180;932062935
muidugi;ADV;O;26;yes;424562;6180;932062935
vaatama;VERB;O;34;no;1204574;6180;932062935
enamasti;ADV;O;2;no;136704;6180;932062935
pealt;ADV;O;2;yes;172269;6180;932062935
aga;CCONJ;O;65;yes;4543343;6180;932062935
kaik;NOUN;O;1;no;812;6180;932062935
toksima;VERB;O;2;no;5682;6180;932062935
nii;ADV;O;29;yes;3430987;6180;932062935
kui;SCONJ;O;63;yes;8878634;6180;932062935
