lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
tere;INTJ;O;1;yes;150469;391;932062935
hommik;NOUN;O;1;no;258753;391;932062935
.;PUNCT;O;30;no;0;391;932062935
mina;PRON;O;15;yes;11780658;391;932062935
olema;AUX;O;17;yes;44175173;391;932062935
Heino;PROPN;O;1;no;11325;391;932062935
Nurk;PROPN;O;1;no;1698;391;932062935
,;PUNCT;O;21;no;0;391;932062935
Eesti;PROPN;O;1;no;2594139;391;932062935
Evangeelse;PROPN;O;1;no;0;391;932062935
Luterlik;PROPN;O;1;no;1385;391;932062935
kirikuõpetaja;NOUN;O;1;no;6468;391;932062935
teenima;VERB;O;2;no;173198;391;932062935
kogudus;NOUN;O;1;no;96672;391;932062935
Baltimore;PROPN;O;1;no;1171;391;932062935
Washington;PROPN;O;1;no;21411;391;932062935
ja;CCONJ;O;12;yes;29978049;391;932062935
siibruck;NOUN;O;1;no;0;391;932062935
laulev;ADJ;O;1;no;5026;391;932062935
revolutsioon;NOUN;O;1;no;19161;391;932062935
aegu;ADP;O;1;yes;9900;391;932062935
palju;ADV;O;2;yes;2032422;391;932062935
jutt;NOUN;O;1;no;337829;391;932062935
seadusriik;NOUN;O;1;no;22;391;932062935
too;DET;O;1;yes;163922;391;932062935
aeg;NOUN;O;1;no;2435622;391;932062935
ihkama;VERB;O;1;no;9483;391;932062935
saama;VERB;O;2;yes;7285093;391;932062935
välja;ADV;O;1;yes;1817185;391;932062935
võimukandja;NOUN;O;1;no;1578;391;932062935
oma;PRON;O;2;yes;4535142;391;932062935
kool;NOUN;O;1;no;581408;391;932062935
see;PRON;O;11;yes;18818291;391;932062935
tulev;ADJ;O;1;yes;50772;391;932062935
seadusetus;NOUN;O;1;no;375;391;932062935
ning;CCONJ;O;3;yes;5766748;391;932062935
inimene;NOUN;O;10;no;2519709;391;932062935
kaitsetus;NOUN;O;1;no;346;391;932062935
alt;ADP;O;1;yes;125988;391;932062935
praegu;ADV;O;1;yes;542400;391;932062935
eriti;ADV;O;2;no;605323;391;932062935
pärast;ADP;O;2;yes;1109488;391;932062935
ühinemine;NOUN;O;1;no;21221;391;932062935
Euroopa;PROPN;O;1;no;842639;391;932062935
Liit;PROPN;O;1;no;231191;391;932062935
hakkama;VERB;O;1;yes;1534193;391;932062935
kurtma;VERB;O;1;no;36862;391;932062935
elu;NOUN;O;5;no;946740;391;932062935
liigne;ADJ;O;1;no;45963;391;932062935
reglementeeritud;ADJ;O;1;no;0;391;932062935
igasugune;DET;O;1;yes;145235;391;932062935
ettekirjutus;NOUN;O;1;no;11402;391;932062935
rohkus;NOUN;O;1;no;6185;391;932062935
demokraatia;NOUN;O;1;no;39508;391;932062935
kaasnev;ADJ;O;1;no;33347;391;932062935
bürokraatia;NOUN;O;1;no;8049;391;932062935
üle;ADP;O;1;yes;1447134;391;932062935
tunduma;VERB;O;1;no;476788;391;932062935
