lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
tere;INTJ;O;1;yes;150469;540;932062935
,;PUNCT;O;29;no;0;540;932062935
mina;PRON;O;8;yes;11780658;540;932062935
nimi;NOUN;O;1;no;536165;540;932062935
olema;AUX;O;13;yes;44175173;540;932062935
liiaganem;NOUN;O;1;no;0;540;932062935
jõerand;NOUN;O;1;no;67;540;932062935
ja;CCONJ;O;35;yes;29978049;540;932062935
lugema;VERB;O;1;no;754112;540;932062935
sina;PRON;O;7;yes;3743020;540;932062935
muistent;NOUN;O;1;no;0;540;932062935
Koit;PROPN;O;3;no;11699;540;932062935
Hämarik;PROPN;O;2;no;602;540;932062935
mis;PRON;O;4;yes;9028438;540;932062935
kiri;NOUN;O;1;no;319565;540;932062935
panema;VERB;O;4;no;1364289;540;932062935
rahvasuu;NOUN;O;1;no;3351;540;932062935
Friedrich;PROPN;O;1;no;10778;540;932062935
Robert;PROPN;O;1;no;41126;540;932062935
Faehlmann;PROPN;O;1;no;815;540;932062935
.;PUNCT;O;34;no;0;540;932062935
lühike;ADJ;O;2;no;116575;540;932062935
rõõmuaeg;NOUN;O;1;no;81;540;932062935
laul;NOUN;O;3;no;158659;540;932062935
lillerikas;ADJ;O;1;no;32;540;932062935
lühim;ADJ;O;1;no;1752;540;932062935
öö;NOUN;O;1;no;157190;540;932062935
aeg;NOUN;O;4;no;2435622;540;932062935
tegema;VERB;O;1;yes;3824200;540;932062935
heaks;ADV;O;1;yes;64400;540;932062935
põhjamaa;NOUN;O;2;no;7645;540;932062935
elanik;NOUN;O;1;no;171374;540;932062935
karm;ADJ;O;1;no;46375;540;932062935
talv;NOUN;O;2;no;126645;540;932062935
pikk;ADJ;O;2;no;395543;540;932062935
kannatus;NOUN;O;1;no;31364;540;932062935
see;DET;O;4;yes;18818291;540;932062935
loodus;NOUN;O;1;no;173089;540;932062935
pidu;NOUN;O;2;no;96301;540;932062935
ajal;ADP;O;1;no;317252;540;932062935
kus;ADV;O;6;yes;1607926;540;932062935
teineteise;PRON;O;3;yes;51788;540;932062935
käsi;NOUN;O;4;no;694904;540;932062935
ulatama;ADJ;O;1;no;14897;540;932062935
jutustama;VERB;O;2;no;41757;540;932062935
üks;DET;O;5;yes;3226979;540;932062935
rauk;NOUN;O;1;no;923;540;932062935
ise;PRON;O;2;yes;3509459;540;932062935
ümber;ADP;O;1;yes;295135;540;932062935
kogunenud;ADJ;O;1;no;27047;540;932062935
lastelane;NOUN;O;1;no;0;540;932062935
koit;NOUN;O;5;no;4383;540;932062935
hämarik;NOUN;O;7;no;610;540;932062935
armuloog;NOUN;O;1;no;0;540;932062935
siin;ADV;O;1;yes;842300;540;932062935
edasi;ADV;O;2;yes;598918;540;932062935
kuulma;VERB;O;1;no;283532;540;932062935
kas;ADV;O;3;yes;1985401;540;932062935
tundma;VERB;O;3;no;633300;540;932062935
valgusandja;NOUN;O;4;no;0;540;932062935
vanaisakoda;NOUN;O;1;no;0;540;932062935
?;PUNCT;O;4;no;0;540;932062935
praegu;ADV;O;1;yes;542400;540;932062935
just;ADV;O;1;yes;809252;540;932062935
tema;PRON;O;15;yes;9154483;540;932062935
puhkama;VERB;O;2;no;62843;540;932062935
minema;VERB;O;2;yes;2265871;540;932062935
seal;ADV;O;1;yes;911658;540;932062935
kustuma;VERB;O;4;no;16213;540;932062935
hiilgama;VERB;O;1;no;4399;540;932062935
eeldama;NOUN;O;1;no;97714;540;932062935
kuma;NOUN;O;2;no;3516;540;932062935
taevas;NOUN;O;4;no;75586;540;932062935
kuid;CCONJ;O;1;yes;1732128;540;932062935
juba;ADV;O;1;yes;1850492;540;932062935
nihkuma;VERB;O;1;no;8558;540;932062935
valgus;NOUN;O;1;no;128279;540;932062935
riba;NOUN;O;1;no;17848;540;932062935
ida;NOUN;O;1;no;31282;540;932062935
kohe;ADV;O;1;yes;541194;540;932062935
jälle;ADV;O;4;no;307300;540;932062935
täis;ADJ;O;1;no;305641;540;932062935
särama;VERB;O;1;no;29506;540;932062935
kogu;NOUN;O;1;yes;810088;540;932062935
loodustama;VERB;O;1;no;0;540;932062935
tervitama;VERB;O;1;no;39057;540;932062935
kes;PRON;O;3;yes;3572036;540;932062935
päike;NOUN;O;5;no;115392;540;932062935
vastu;ADP;O;2;yes;1054024;540;932062935
võtma;VERB;O;1;no;2139597;540;932062935
viima;VERB;O;1;no;561985;540;932062935
kui;SCONJ;O;8;yes;8878634;540;932062935
oma;PRON;O;8;yes;4535142;540;932062935
käik;NOUN;O;6;no;83196;540;932062935
lõpetama;VERB;O;2;no;317669;540;932062935
kätkema;NOUN;O;1;no;7092;540;932062935
põlema;VERB;O;1;no;76465;540;932062935
süütama;VERB;O;3;no;16901;540;932062935
uus;ADJ;O;5;no;1922794;540;932062935
alustama;VERB;O;3;no;424959;540;932062935
vanaisa;NOUN;O;5;no;28933;540;932062935
kaks;NUM;O;1;no;1334057;540;932062935
ustav;ADJ;O;1;no;7005;540;932062935
teener;NOUN;O;1;no;4561;540;932062935
sugu;NOUN;O;1;no;33395;540;932062935
igavene;ADJ;O;1;no;24419;540;932062935
noorus;NOUN;O;1;no;18379;540;932062935
andma;VERB;O;1;no;1683851;540;932062935
esimene;ADJ;O;1;no;1420248;540;932062935
õhtu;NOUN;O;2;no;322860;540;932062935
ütlema;VERB;O;3;no;1762423;540;932062935
hool;NOUN;O;1;no;60157;540;932062935
tütreke;NOUN;O;1;no;2929;540;932062935
usaldama;VERB;O;1;no;58212;540;932062935
loojuv;ADJ;O;1;no;1082;540;932062935
kustutama;VERB;O;1;no;63675;540;932062935
peitma;VERB;O;1;no;32849;540;932062935
tulema;VERB;O;1;yes;3338518;540;932062935
ära;ADV;O;1;yes;1430862;540;932062935
et;SCONJ;O;1;yes;12213661;540;932062935
kahju;NOUN;O;1;no;145529;540;932062935
ei;AUX;O;3;yes;10355923;540;932062935
sünd;VERB;O;1;no;52999;540;932062935
teine;ADJ;O;2;yes;2482902;540;932062935
hommik;NOUN;O;2;no;258753;540;932062935
pidama;AUX;O;1;yes;3575612;540;932062935
amet;NOUN;O;2;no;170408;540;932062935
pojuke;NOUN;O;1;no;417;540;932062935
süütma;VERB;O;1;no;0;540;932062935
valmistama;VERB;O;1;no;152592;540;932062935
ustavalt;ADV;O;1;no;882;540;932062935
täitma;VERB;O;3;no;261751;540;932062935
mõlema;DET;O;3;yes;332283;540;932062935
kohus;NOUN;O;1;no;176902;540;932062935
päev;NOUN;O;2;no;1360298;540;932062935
puuduma;VERB;O;1;no;211797;540;932062935
taevavõlv;NOUN;O;1;no;453;540;932062935
taevaserv;NOUN;O;1;no;75;540;932062935
liikuma;VERB;O;1;no;310429;540;932062935
paremini;ADV;O;1;no;214337;540;932062935
hiljemini;ADV;O;1;no;143;540;932062935
kevad;NOUN;O;1;no;161236;540;932062935
lill;NOUN;O;3;no;59443;540;932062935
äratama;VERB;O;1;no;28738;540;932062935
ning;CCONJ;O;3;yes;5766748;540;932062935
suvi;NOUN;O;1;no;261885;540;932062935
vili;NOUN;O;1;no;49861;540;932062935
palav;ADJ;O;1;no;17605;540;932062935
kiir;NOUN;O;1;no;19350;540;932062935
valmima;VERB;O;1;no;66569;540;932062935
siis;ADV;O;2;yes;4824773;540;932062935
ainult;ADV;O;2;yes;947442;540;932062935
puhkus;NOUN;O;1;no;85096;540;932062935
antud;ADJ;O;1;no;296495;540;932062935
annakustuja;NOUN;O;1;no;0;540;932062935
