lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
Ferdinand;PROPN;O;8;no;3679;1777;932062935
Veike;PROPN;O;1;no;295;1777;932062935
kuulama;VERB;O;2;no;202795;1777;932062935
praegu;ADV;O;5;yes;542400;1777;932062935
see;PRON;O;50;yes;18818291;1777;932062935
Buratino;PROPN;O;17;no;937;1777;932062935
laul;NOUN;O;2;no;158659;1777;932062935
,;PUNCT;O;183;no;0;1777;932062935
mis;PRON;O;13;yes;9028438;1777;932062935
olema;AUX;O;88;yes;44175173;1777;932062935
Eesti;PROPN;O;4;no;2594139;1777;932062935
Raadio;PROPN;O;1;no;10981;1777;932062935
fonoteek;NOUN;O;1;no;435;1777;932062935
.;PUNCT;O;59;no;0;1777;932062935
ja;CCONJ;O;84;yes;29978049;1777;932062935
kas;ADV;O;3;yes;1985401;1777;932062935
sina;PRON;O;28;yes;3743020;1777;932062935
mäletama;VERB;O;1;no;147820;1777;932062935
millal;ADV;O;1;yes;125539;1777;932062935
esimene;ADJ;O;4;no;1420248;1777;932062935
kord;NOUN;O;5;no;1304710;1777;932062935
eeter;NOUN;O;1;no;25968;1777;932062935
kuulma;VERB;O;4;no;283532;1777;932062935
siis;ADV;O;24;yes;4824773;1777;932062935
rääkima;VERB;O;5;no;1111753;1777;932062935
edasi;ADV;O;1;yes;598918;1777;932062935
kuidas;ADV;O;9;yes;1317035;1777;932062935
sündima;VERB;O;2;no;211876;1777;932062935
jah;ADV;O;2;yes;412789;1777;932062935
1954.;ADJ;O;1;no;0;1777;932062935
aasta;NOUN;O;2;no;4045959;1777;932062935
aprill;NOUN;O;1;no;198652;1777;932062935
lõpp;NOUN;O;1;no;547561;1777;932062935
see;DET;O;25;yes;18818291;1777;932062935
aeg;NOUN;O;6;no;2435622;1777;932062935
kasvama;VERB;O;1;no;318848;1777;932062935
mitu;DET;O;5;yes;814408;1777;932062935
põlvkond;NOUN;O;1;no;66902;1777;932062935
kuulaja;NOUN;O;1;no;29642;1777;932062935
kes;PRON;O;12;yes;3572036;1777;932062935
võib-olla;ADV;O;2;yes;138681;1777;932062935
ei;AUX;O;22;yes;10355923;1777;932062935
isegi;ADV;O;1;yes;696376;1777;932062935
Aleksei;PROPN;O;2;no;15748;1777;932062935
Tolstoi;PROPN;O;2;no;2057;1777;932062935
kuuldemäng;NOUN;O;4;no;2228;1777;932062935
puunupuratiinus;NOUN;O;1;no;0;1777;932062935
teadma;VERB;O;3;no;1482699;1777;932062935
tema;PRON;O;28;yes;9154483;1777;932062935
ka;ADV;O;10;yes;7941300;1777;932062935
et;SCONJ;O;45;yes;12213661;1777;932062935
lõik;NOUN;O;1;no;57474;1777;932062935
mängima;VERB;O;4;no;537718;1777;932062935
küll;ADV;O;1;yes;1080941;1777;932062935
too;DET;O;1;yes;163922;1777;932062935
laps;NOUN;O;7;no;1505088;1777;932062935
aga;CCONJ;O;11;yes;4543343;1777;932062935
hääl;NOUN;O;11;no;194777;1777;932062935
tegema;VERB;O;21;yes;3824200;1777;932062935
tegelikult;ADV;O;1;no;475760;1777;932062935
kunagine;ADJ;O;1;no;41064;1777;932062935
raadio;NOUN;O;5;no;57204;1777;932062935
helirežissöör;NOUN;O;1;no;1942;1777;932062935
Eero;PROPN;O;3;no;8792;1777;932062935
Sepling;PROPN;O;5;no;169;1777;932062935
nüüd;ADV;O;17;yes;1119277;1777;932062935
kena;ADJ;O;1;no;89163;1777;932062935
tuletama;VERB;O;1;no;77093;1777;932062935
meel;NOUN;O;2;no;390199;1777;932062935
väga;ADV;O;8;yes;2222237;1777;932062935
tore;ADJ;O;1;no;248583;1777;932062935
laulusõna;NOUN;O;1;no;3691;1777;932062935
jaoks;ADP;O;1;yes;839645;1777;932062935
nii;ADV;O;26;yes;3430987;1777;932062935
üks;DET;O;10;yes;3226979;1777;932062935
proov;NOUN;O;2;no;88769;1777;932062935
mina;PRON;O;44;yes;11780658;1777;932062935
mõtlema;VERB;O;4;no;868014;1777;932062935
pidama;AUX;O;11;yes;3575612;1777;932062935
kuuldemängujuht;NOUN;O;2;no;0;1777;932062935
kuiv;NOUN;O;1;no;86431;1777;932062935
ikka;ADV;O;8;yes;1123255;1777;932062935
koos;ADP;O;3;yes;875375;1777;932062935
Jaan;PROPN;O;1;no;84242;1777;932062935
koht;NOUN;O;2;no;1148987;1777;932062935
helilooja;NOUN;O;2;no;32821;1777;932062935
võima;AUX;O;4;yes;3045900;1777;932062935
puupoiss;NOUN;O;2;no;27;1777;932062935
hääleke;NOUN;O;1;no;376;1777;932062935
kriuksuma;VERB;O;1;no;650;1777;932062935
vinguv;ADJ;O;1;no;985;1777;932062935
