lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
ja;CCONJ;O;90;yes;29978049;2862;932062935
kui;SCONJ;O;28;yes;8878634;2862;932062935
mina;PRON;O;46;yes;11780658;2862;932062935
nüüd;ADV;O;11;yes;1119277;2862;932062935
mõtlema;VERB;O;5;no;868014;2862;932062935
,;PUNCT;O;221;no;0;2862;932062935
kuidas;ADV;O;4;yes;1317035;2862;932062935
Janssen;PROPN;O;3;no;1545;2862;932062935
siis;ADV;O;31;yes;4824773;2862;932062935
tyhja;NOUN;O;1;no;516;2862;932062935
kasvama;VERB;O;1;no;318848;2862;932062935
Jansen;PROPN;O;21;no;904;2862;932062935
kassa;NOUN;O;1;yes;16229;2862;932062935
mändrav;NOUN;O;1;no;0;2862;932062935
Vändra;PROPN;O;3;no;9108;2862;932062935
mõis;NOUN;O;2;no;89345;2862;932062935
mölder;NOUN;O;1;no;1328;2862;932062935
kõrtsimees;NOUN;O;1;no;143;2862;932062935
pere;NOUN;O;2;no;314465;2862;932062935
.;PUNCT;O;126;no;0;2862;932062935
see;PRON;O;78;yes;18818291;2862;932062935
kasvastiv;ADJ;O;1;no;0;2862;932062935
natuke;NOUN;O;6;no;311211;2862;932062935
nagu;SCONJ;O;16;yes;1699877;2862;932062935
vabamagi;NOUN;O;1;no;0;2862;932062935
olu;NOUN;O;3;no;47337;2862;932062935
tavaline;ADJ;O;2;no;197660;2862;932062935
talupoeg;NOUN;O;2;no;11829;2862;932062935
võib-olla;ADV;O;4;yes;138681;2862;932062935
jõukam;ADJ;O;1;no;4576;2862;932062935
aga;CCONJ;O;22;yes;4543343;2862;932062935
sama;DET;O;6;yes;1115714;2862;932062935
aeg;NOUN;O;30;no;2435622;2862;932062935
olema;AUX;O;121;yes;44175173;2862;932062935
teisipidi;ADV;O;1;no;871;2862;932062935
väga;ADV;O;20;yes;2222237;2862;932062935
tähtis;ADJ;O;1;no;159720;2862;932062935
sest;SCONJ;O;10;yes;1380142;2862;932062935
see;DET;O;45;yes;18818291;2862;932062935
või;CCONJ;O;3;yes;4113697;2862;932062935
vesk;NOUN;O;1;no;0;2862;932062935
kõrts;NOUN;O;3;no;12719;2862;932062935
kuulma;VERB;O;1;no;283532;2862;932062935
tema;PRON;O;71;yes;9154483;2862;932062935
jo;NOUN;O;1;no;2017;2862;932062935
poisike;NOUN;O;2;no;7290;2862;932062935
alati;ADV;O;1;yes;548446;2862;932062935
kogu;DET;O;7;yes;810088;2862;932062935
traditsioon;NOUN;O;2;no;63296;2862;932062935
et;SCONJ;O;69;yes;12213661;2862;932062935
mees;NOUN;O;2;no;1070078;2862;932062935
veskima;VERB;O;1;no;0;2862;932062935
ootama;VERB;O;1;no;587221;2862;932062935
järjekord;NOUN;O;1;no;60715;2862;932062935
käima;VERB;O;3;no;1068258;2862;932062935
hea;ADJ;O;3;no;1639322;2862;932062935
jutt;NOUN;O;1;no;337829;2862;932062935
ju;ADV;O;18;yes;845501;2862;932062935
tegelikult;ADV;O;4;no;475760;2862;932062935
simm;NOUN;O;1;no;756;2862;932062935
pärastine;ADJ;O;1;no;591;2862;932062935
kultuurimaja;NOUN;O;1;no;9858;2862;932062935
niiet;ADV;O;1;no;20706;2862;932062935
kuulja;NOUN;O;1;no;816;2862;932062935
seal;ADV;O;6;yes;911658;2862;932062935
palju;ADV;O;10;yes;2032422;2862;932062935
külamees;NOUN;O;1;no;2406;2862;932062935
jutleja;NOUN;O;1;no;0;2862;932062935
vestlus;NOUN;O;1;no;57622;2862;932062935
nii;ADV;O;28;yes;3430987;2862;932062935
tõsine;ADJ;O;1;no;97663;2862;932062935
kui;CCONJ;O;2;yes;8878634;2862;932062935
naljakas;ADJ;O;1;no;47995;2862;932062935
küllap;ADV;O;2;no;40199;2862;932062935
kuulama;VERB;O;1;no;202795;2862;932062935
ka;ADV;O;38;yes;7941300;2862;932062935
küllalt;ADV;O;9;no;24825;2862;932062935
laul;NOUN;O;12;no;158659;2862;932062935
eriti;ADV;O;6;no;605323;2862;932062935
Visu;PROPN;O;1;no;109;2862;932062935
kus;ADV;O;3;yes;1607926;2862;932062935
ringmäng;NOUN;O;2;no;992;2862;932062935
viima;VERB;O;2;no;561985;2862;932062935
tihedalt;ADV;O;1;no;26804;2862;932062935
