Model,Average Score
MiniLM-L12_multi,0.23388004141081353
LaBSE,0.21297171298270134
multi_e5,0.211342752428396
MiniLM_multi,0.1987947257850509
EstBERT,0.16826489441540102
est-roberta,0.14826816427110778
xml_roberta,0.13061348972812292
bertMulti,0.12370244772314619
distilbertMulti,0.08008488914210606
