EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,3,4,4,5,6,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,7,7,3,5,4,5,6,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,7,8,3,5,4,5,6,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,7,8,3,6,4,6,5,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,7,7,3,6,3,4,5,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
4,7,5,3,6,6,4,4,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,8,6,6,6,6,4,6,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
4,8,4,8,7,5,4,6,3,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
4,6,2,7,5,5,5,7,3,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,6,3,6,6,7,5,7,4,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
2,6,4,6,7,7,5,7,6,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
