EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,1,1,3,2,1,1,6,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
6,4,2,1,3,2,2,1,6,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
6,4,3,1,3,2,2,1,6,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
6,4,3,1,3,3,2,2,6,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
6,4,2,1,3,4,1,2,6,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
6,4,5,2,3,5,7,3,6,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
5,4,4,3,6,7,7,3,6,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
5,4,5,6,6,5,7,3,6,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
6,2,6,6,6,6,6,3,5,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
5,5,4,6,7,6,6,3,4,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
4,2,6,6,6,5,6,4,4,12,chachapoyas; poeg; linn; muumia; ink; kindlus; ant; päike; surnu
