EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,5,8,5,3,5,8,8,12,tantsupidu; tänutunne; soomaa; hing; vaike; isetegemine; mait; metsamaa; heinamaa; agu
8,4,5,8,5,3,5,7,8,12,tantsupidu; tänutunne; soomaa; hing; vaike; isetegemine; mait; metsamaa; heinamaa; agu
8,4,7,7,5,4,6,8,8,12,tantsupidu; tänutunne; soomaa; hing; vaike; isetegemine; mait; metsamaa; heinamaa; agu
8,5,7,7,5,5,5,8,8,12,tantsupidu; tänutunne; soomaa; hing; vaike; isetegemine; mait; metsamaa; heinamaa; agu
8,4,7,7,5,7,6,8,8,12,tantsupidu; tänutunne; soomaa; hing; vaike; isetegemine; mait; metsamaa; heinamaa; agu
8,5,6,6,5,6,5,8,8,12,tantsupidu; tänutunne; soomaa; hing; vaike; isetegemine; mait; metsamaa; heinamaa; agu
8,3,7,5,7,7,6,7,8,12,tantsupidu; tänutunne; soomaa; hing; vaike; agu; isetegemine; metsamaa; heinamaa; mait
6,3,6,4,7,7,6,8,8,12,tantsupidu; tänutunne; soomaa; hing; vaike; agu; isetegemine; metsamaa; heinamaa; mait
5,5,7,6,5,8,6,7,9,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
3,2,8,5,8,8,6,6,7,12,tantsupidu; tänutunne; hing; soomaa; vaike; isetegemine; mait; metsamaa; heinamaa; agu
3,3,7,8,7,8,5,6,7,12,tantsupidu; tänutunne; hing; soomaa; vaike; isetegemine; mait; metsamaa; heinamaa; agu
