EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
13,13,13,13,13,13,13,13,13,14,üleliiduline; partei; põlevkivikaevandus; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
