EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,8,7,8,7,7,6,8,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,9,8,7,8,8,7,6,8,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,9,8,7,8,8,7,7,8,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,9,8,7,8,8,7,7,8,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,8,6,7,8,7,7,7,8,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,8,7,7,9,7,8,8,8,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,8,9,9,9,6,7,8,9,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,7,6,9,9,8,6,7,9,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,8,6,8,9,8,7,6,9,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,7,8,7,9,8,7,6,9,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
9,6,8,8,8,8,7,6,8,13,tõlge; kannatus; luuletaja; reisimine; kesk-aasia; diktatuur; sissov; reaalsus; autor
