EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,5,0,2,4,4,4,2,12,süsteem; eesti; mõtlemine; tõlkima; hägusus; keel
3,2,4,0,2,4,4,4,2,12,süsteem; eesti; mõtlemine; tõlkima; hägusus; keel
3,1,4,0,2,4,4,4,2,12,süsteem; eesti; mõtlemine; tõlkima; hägusus; keel
3,0,2,0,2,4,4,3,2,12,süsteem; eesti; mõtlemine; tõlkima; hägusus; keel
2,1,2,0,2,3,5,2,2,12,eesti; mõtlemine; keel; tõlkima; hägusus; süsteem
2,1,2,1,2,3,3,3,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
2,1,1,2,2,3,3,2,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
2,0,0,2,1,2,3,1,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
2,1,1,4,1,3,3,1,2,12,süsteem; eesti; mõtlemine; tõlkima; hägusus; keel
1,1,0,2,2,2,3,1,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
0,1,0,2,1,2,3,0,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
