EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,3,1,4,1,2,1,1,11,kraav; polder; pauts; ekskavaator
1,0,3,1,4,1,2,1,1,11,kraav; polder; pauts; ekskavaator
1,0,3,1,4,2,2,1,1,11,kraav; polder; pauts; ekskavaator
0,0,3,1,4,2,2,1,1,11,kraav; polder; pauts; ekskavaator
0,0,3,2,4,2,2,1,1,11,kraav; polder; pauts; ekskavaator
0,0,3,2,3,2,2,2,1,11,kraav; polder; pauts; ekskavaator
0,0,1,2,4,2,2,2,1,11,kraav; polder; pauts; ekskavaator
1,1,1,1,4,2,2,3,1,11,polder; kraav; pauts; ekskavaator
0,1,2,3,3,2,2,3,1,11,kraav; polder; pauts; ekskavaator
0,1,2,3,2,2,2,2,1,11,kraav; polder; pauts; ekskavaator
0,2,2,3,2,2,2,2,0,11,kraav; polder; pauts; ekskavaator
