EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
14,14,14,14,14,14,14,14,14,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
