EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,9,5,9,11,11,10,10,9,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
13,9,6,9,11,11,9,10,9,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
13,9,6,9,11,11,10,9,9,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
13,9,7,9,11,10,11,8,9,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
13,9,7,8,11,9,12,8,8,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
13,9,8,8,11,10,11,7,7,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
13,9,9,10,11,9,11,7,8,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
13,9,7,9,11,10,11,10,9,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
13,9,7,8,11,9,11,9,8,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; mõjutamine; relv; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
12,9,7,8,12,9,11,9,8,13,mass; internet; regulatsioon; kasum; idealism; poliitika; suhtlusplatvorm; relv; mõjutamine; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
11,9,7,7,11,9,10,10,8,13,mass; internet; regulatsioon; kasum; idealism; poliitika; relv; mõjutamine; suhtlusplatvorm; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
