EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,7,3,7,6,7,5,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
9,9,7,3,6,7,7,5,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
9,9,7,3,6,6,7,5,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
9,9,6,3,6,7,7,5,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
9,9,6,3,6,9,6,5,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
9,8,5,3,6,8,7,6,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
8,8,5,6,5,8,7,7,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
7,9,7,7,6,7,6,8,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
7,9,6,8,7,7,6,9,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
7,8,6,8,6,6,5,8,8,12,stress; haigus; vaimne; maagia; uskumus; tasakaal; lemm; sümptom; ehmatamine; meditsiin
7,6,6,8,7,7,6,8,8,12,stress; haigus; vaimne; maagia; uskumus; tasakaal; lemm; sümptom; ehmatamine; meditsiin
