EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,9,0,1,9,8,3,4,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
4,6,9,0,1,9,8,3,4,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
4,6,9,0,2,10,10,4,4,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
3,6,9,0,2,11,10,7,4,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
3,6,9,0,2,10,9,7,5,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
2,5,8,2,2,8,7,7,4,11,mozart; gerretz; solist; jüri; dirigent; kammerorkester; viiul; pedagoog; konservatoorium; interpreet; kontsert
3,5,6,3,4,6,6,9,4,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
3,5,5,4,5,4,7,6,4,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; viiul; pedagoog; konservatoorium; interpreet; kontsert
2,3,4,5,6,4,7,8,7,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
2,3,4,4,5,2,6,8,7,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
2,1,2,4,6,2,5,7,5,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; viiul; pedagoog; konservatoorium; interpreet; kontsert
