EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,8,7,6,9,9,7,6,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,7,8,7,6,10,10,7,5,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,8,7,7,6,10,10,7,5,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,7,7,7,6,10,10,7,5,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,8,8,8,7,10,10,7,6,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,9,10,8,6,10,10,10,6,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,8,9,8,8,11,9,10,7,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,6,8,9,7,11,10,8,7,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
8,6,9,10,7,10,10,9,8,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
7,7,8,9,8,10,9,8,8,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
7,7,8,9,9,9,9,8,10,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
