EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
10,10,10,10,10,10,10,10,10,16,orgaaniline; muistis; arheoloogiline; kaevamine; narvas; aivar; kriska; materjal; kultuur; keraamika
