EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,2,2,5,2,2,1,3,19,washington; kultuuripealinn; jüri; lahkumine; president; programm; luik; kool; deckarty; edendus; tervis; amet
5,6,2,2,5,1,3,1,4,19,washington; kultuuripealinn; jüri; lahkumine; president; programm; luik; kool; deckarty; edendus; tervis; amet
5,6,2,2,5,1,3,1,4,19,washington; kultuuripealinn; jüri; lahkumine; president; programm; luik; kool; deckarty; edendus; tervis; amet
5,6,2,2,5,1,3,1,4,19,washington; kultuuripealinn; jüri; lahkumine; president; programm; luik; kool; deckarty; edendus; tervis; amet
5,6,3,3,5,4,3,1,4,19,washington; kultuuripealinn; jüri; lahkumine; president; programm; luik; kool; deckarty; balti; trump; edendus; tervis; amet
3,5,5,5,5,4,6,3,4,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
2,5,4,7,6,3,6,5,4,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
3,5,7,6,6,5,7,7,3,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
2,4,8,8,6,6,5,7,5,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
2,3,7,8,6,6,6,8,4,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
3,3,6,8,6,5,6,7,4,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
