EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,2,1,4,2,1,2,3,12,aabits; släng; esimene; mood; keel; tahv
3,0,2,1,4,2,1,2,3,12,aabits; släng; esimene; mood; keel; tahv
3,0,3,1,4,2,2,3,3,12,aabits; släng; esimene; mood; keel; tahv
3,0,4,1,4,2,2,4,3,12,aabits; släng; esimene; mood; keel; tahv
3,0,4,1,5,2,1,4,3,12,aabits; släng; esimene; mood; keel; tahv
3,0,4,1,5,1,2,4,3,12,aabits; släng; esimene; mood; keel; tahv
2,0,3,2,5,2,2,4,3,12,aabits; släng; esimene; mood; keel; tahv
1,1,3,1,5,2,2,3,4,12,aabits; släng; esimene; mood; keel; tahv
2,1,2,4,5,2,1,5,4,12,aabits; släng; esimene; mood; keel; tahv
3,2,1,5,4,3,3,4,3,12,aabits; släng; esimene; mood; keel; tahv
3,2,2,5,3,3,2,4,3,12,aabits; släng; esimene; mood; keel; tahv
