EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,7,4,4,6,6,4,5,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
5,7,7,3,3,6,5,6,5,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
5,7,7,3,3,5,5,5,5,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
5,7,8,2,3,6,7,5,5,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
5,7,7,2,3,7,9,5,5,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
4,9,5,2,3,6,8,5,6,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
4,8,6,2,4,6,8,6,7,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
2,7,5,3,3,5,9,5,9,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
3,7,6,4,5,6,9,5,8,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
3,7,7,4,4,6,8,3,9,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
3,4,7,5,5,5,6,3,7,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
