EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,7,5,2,8,9,5,3,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
5,6,7,6,2,8,9,4,3,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
5,6,6,6,3,7,9,4,3,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
5,6,6,5,3,6,7,3,3,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
5,6,5,5,5,6,7,3,3,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
5,6,5,6,5,4,7,4,3,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
6,6,4,5,6,6,5,5,4,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
5,6,4,7,6,6,6,7,5,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
4,7,5,6,5,5,5,7,4,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
5,7,5,4,6,4,5,7,5,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
6,6,4,4,6,3,5,7,3,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
