EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
12,12,12,12,12,12,12,12,12,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
