EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,9,5,8,7,5,6,7,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
7,6,10,5,9,7,4,6,7,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
7,6,10,6,9,8,6,8,7,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
7,6,11,6,10,7,6,8,7,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
7,6,10,6,9,6,6,8,7,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
8,6,11,6,9,7,7,8,6,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
8,7,11,7,8,7,6,8,6,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
8,8,10,7,8,7,7,9,6,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
8,7,11,9,8,7,7,9,7,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
8,6,11,10,7,7,7,9,8,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
8,7,11,9,8,7,7,11,8,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
