EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,14,13,12,11,11,10,12,12,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
12,14,13,11,11,13,9,11,12,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
11,14,12,11,11,12,10,11,12,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
12,14,11,12,11,13,10,11,12,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
12,14,10,12,11,12,10,13,12,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
12,14,11,11,12,13,9,12,11,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
12,13,10,11,12,11,11,11,11,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
12,12,10,14,13,13,9,12,11,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
12,12,12,12,13,13,11,12,12,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
11,11,12,12,13,12,11,12,13,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
11,11,12,12,13,12,11,11,12,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
