EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
13,13,13,13,13,13,13,13,13,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; piret; peeter; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
