EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,8,8,5,7,7,8,6,11,seljakott; plaat; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma; stuudio
9,8,8,8,5,6,8,8,6,11,seljakott; plaat; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma; stuudio
9,9,8,8,6,8,8,8,6,11,seljakott; plaat; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma; stuudio
9,8,9,8,6,7,8,9,6,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
9,7,8,8,6,8,8,9,6,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
9,8,7,8,6,8,7,8,6,11,seljakott; plaat; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma; stuudio
9,8,7,9,6,8,7,8,6,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
9,7,7,7,6,8,8,7,6,11,seljakott; plaat; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma; stuudio
9,7,8,8,7,7,9,5,7,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
8,7,8,7,7,8,9,5,7,11,seljakott; plaat; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma; stuudio
9,6,6,7,8,8,9,6,9,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
