EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,2,5,7,7,5,4,6,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
7,6,3,5,7,6,6,4,6,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
7,6,3,5,7,5,6,4,6,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
7,6,4,5,7,6,6,5,6,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
7,7,5,5,7,6,7,5,6,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
6,6,3,5,7,5,7,5,6,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
7,7,4,6,8,6,6,6,6,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
6,7,4,6,6,7,6,8,6,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
6,7,5,6,6,7,6,7,7,11,kunst; rahvatants; jüri; kirjandus; juur; tallinn; tartu; arrak
5,6,5,7,8,7,7,7,8,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
5,7,5,6,5,7,7,7,8,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
