EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,11,10,10,10,11,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,11,10,10,10,11,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,11,10,10,11,11,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,11,11,9,10,11,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,10,11,9,10,11,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,10,11,9,10,11,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,10,11,9,10,11,10,10,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,10,11,9,10,11,10,10,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,11,10,9,10,11,10,10,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,11,9,9,10,11,10,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,11,11,9,9,11,11,10,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
