EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,5,6,3,6,6,7,3,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; raadio; muusikasaade; haapsalu; estraadiorkester
8,5,5,6,3,6,6,7,3,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; raadio; muusikasaade; haapsalu; estraadiorkester
8,5,7,6,2,7,6,7,3,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; raadio; muusikasaade; haapsalu; estraadiorkester
8,4,7,6,3,7,7,7,3,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; raadio; muusikasaade; haapsalu; estraadiorkester
8,4,7,6,3,6,7,7,3,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; raadio; muusikasaade; haapsalu; estraadiorkester
7,4,4,6,3,5,6,6,3,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; muusikasaade; raadio; haapsalu; estraadiorkester
6,3,5,5,2,4,4,5,3,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; muusikasaade; raadio; haapsalu; estraadiorkester
6,4,4,5,2,0,5,3,2,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; muusikasaade; raadio; haapsalu; estraadiorkester
6,4,5,2,2,0,5,5,4,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; muusikasaade; raadio; haapsalu; estraadiorkester
5,4,4,2,0,1,5,5,5,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; muusikasaade; raadio; haapsalu; estraadiorkester
5,5,4,2,1,1,5,3,4,11,esinemine; kalurikolhoos; naisansambel; viktoriin; toimetus; varietee; meesansambel; muusikasaade; raadio; haapsalu; estraadiorkester
