Diversity Number,Model name,F1 score
0,EstBERT,0.042669720874063684
0,est-roberta,0.05471159030097973
0,LaBSE,0.10212038269330491
0,bertMulti,0.0230678066789178
0,distilbertMulti,0.02344937841984565
0,MiniLM_multi,0.08893011491736472
0,MiniLM-L12_multi,0.10412182564293697
0,multi_e5,0.07591567814692882
0,xml_roberta,0.03233083906317657
1,EstBERT,0.042669720874063684
1,est-roberta,0.05471159030097973
1,LaBSE,0.10212038269330491
1,bertMulti,0.0230678066789178
1,distilbertMulti,0.023978478948946183
1,MiniLM_multi,0.08893011491736472
1,MiniLM-L12_multi,0.10412182564293697
1,multi_e5,0.07591567814692882
1,xml_roberta,0.033020334752672256
2,EstBERT,0.042669720874063684
2,est-roberta,0.05471159030097973
2,LaBSE,0.10212038269330491
2,bertMulti,0.0230678066789178
2,distilbertMulti,0.023978478948946183
2,MiniLM_multi,0.08893011491736472
2,MiniLM-L12_multi,0.10412182564293697
2,multi_e5,0.07591567814692882
2,xml_roberta,0.03492897138353111
3,EstBERT,0.042669720874063684
3,est-roberta,0.05471159030097973
3,LaBSE,0.10422252161430848
3,bertMulti,0.0230678066789178
3,distilbertMulti,0.023978478948946183
3,MiniLM_multi,0.08893011491736472
3,MiniLM-L12_multi,0.10412182564293697
3,multi_e5,0.07541062764187832
3,xml_roberta,0.03490760386216359
4,EstBERT,0.042669720874063684
4,est-roberta,0.05471159030097973
4,LaBSE,0.0964052147205586
4,bertMulti,0.0230678066789178
4,distilbertMulti,0.023978478948946183
4,MiniLM_multi,0.08690066346066869
4,MiniLM-L12_multi,0.10377460342071476
4,multi_e5,0.07539247223156606
4,xml_roberta,0.03393959039415012
5,EstBERT,0.042669720874063684
5,est-roberta,0.05377382923163971
5,LaBSE,0.09317223268306339
5,bertMulti,0.0230678066789178
5,distilbertMulti,0.023978478948946183
5,MiniLM_multi,0.08224022189749233
5,MiniLM-L12_multi,0.09694338093448888
5,multi_e5,0.07030888339086147
5,xml_roberta,0.03435111302789498
6,EstBERT,0.04227631263990916
6,est-roberta,0.05335295381076429
6,LaBSE,0.08958068777351068
6,bertMulti,0.02442322277698095
6,distilbertMulti,0.023978478948946183
6,MiniLM_multi,0.08124490944707152
6,MiniLM-L12_multi,0.09146485881638991
6,multi_e5,0.06779847351560994
6,xml_roberta,0.03451503292865699
7,EstBERT,0.04038995136534413
7,est-roberta,0.04883467507746507
7,LaBSE,0.08798116813857346
7,bertMulti,0.024574310795716023
7,distilbertMulti,0.023978478948946183
7,MiniLM_multi,0.07989176455775353
7,MiniLM-L12_multi,0.0853978152574199
7,multi_e5,0.06148752783193288
7,xml_roberta,0.034739271409474415
8,EstBERT,0.0431207646554799
8,est-roberta,0.048311392313905396
8,LaBSE,0.08684056156305203
8,bertMulti,0.02525870666202125
8,distilbertMulti,0.023978478948946183
8,MiniLM_multi,0.07553662491561201
8,MiniLM-L12_multi,0.08636276892359121
8,multi_e5,0.05955134420326198
8,xml_roberta,0.0347699351901382
9,EstBERT,0.03777187994375964
9,est-roberta,0.047554287816413014
9,LaBSE,0.08179887811438352
9,bertMulti,0.025117373731709827
9,distilbertMulti,0.023978478948946183
9,MiniLM_multi,0.07264303121546341
9,MiniLM-L12_multi,0.07925245095543008
9,multi_e5,0.06280133722041184
9,xml_roberta,0.036350100882146
10,EstBERT,0.03919357697592647
10,est-roberta,0.0471046297464182
10,LaBSE,0.08601724014489713
10,bertMulti,0.027997485177997737
10,distilbertMulti,0.02348577845624569
10,MiniLM_multi,0.07059213157811366
10,MiniLM-L12_multi,0.07999279086243666
10,multi_e5,0.06167297257489036
10,xml_roberta,0.035472921932211625
