EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,6,5,2,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,6,5,3,1,4,5,5,3,16,kaevamine; narvas; aivar; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
