EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
3,2,1,1,1,5,1,4,1,11,talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus
