EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
2,4,4,2,1,2,2,3,2,11,strandberg; elektron; telekas; valgus; analoogantenn; marek; signaal
