EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
2,2,4,1,0,2,4,4,5,10,töö; vabadus; varandus; õigus; kolhoos; talu
