EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,3,4,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,4,3,4,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,4,3,4,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,4,3,4,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,4,3,4,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,4,3,4,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,4,3,4,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
3,4,3,4,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; amazon; uudis; internet; tehnoloogia; reklaamitulu
5,4,3,5,1,3,4,3,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; amazon; uudis; internet; tehnoloogia; reklaamitulu
5,4,3,3,1,3,4,5,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
5,3,3,4,1,3,4,5,2,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
