EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
3,3,4,2,0,1,3,2,1,13,vikerhommik; muusikapala; muusika; tõnismägi; tõnis; vikerraadio; muusik; klassikaline
