EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
2,2,2,4,3,1,1,1,3,10,mets; armastamine; kaunistus; tüdruk; sõitma
