EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
2,2,2,1,1,3,4,4,2,12,külalisesinemine; teatritrupp; suhe; ostrava; tšehhoslovakkia; sõprusteater
