EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
2,0,2,2,1,4,1,2,1,10,aamen; peegel; kirik; mõtisklus; inimlaps; eneseteadvus; jumal
