EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
2,3,2,3,1,3,1,3,2,16,lasmann; peeter; piret; kriivan; vahur; tunnustus; tähelepanu; toomas; teenetemärk; enesekindlus
