EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,9,13,9,9,7,9,9,15,mammutkontsert; tamberg; steinway; eino; uudisteos; festival; interpreet; steinfeld; eesti; nele-eva; traditsioon; noor; nüüdismuusika; publik; muusika
11,11,10,13,9,10,7,9,9,15,mammutkontsert; tamberg; steinway; eino; uudisteos; festival; interpreet; steinfeld; eesti; nele-eva; traditsioon; noor; nüüdismuusika; publik; muusika
11,11,9,14,8,12,8,9,9,15,mammutkontsert; tamberg; steinway; eino; uudisteos; festival; interpreet; steinfeld; eesti; nele-eva; traditsioon; noor; nüüdismuusika; publik; muusika
11,10,10,13,8,12,11,13,9,15,mammutkontsert; tamberg; steinway; eino; uudisteos; festival; interpreet; steinfeld; eesti; nele-eva; traditsioon; noor; nüüdismuusika; publik; muusika
12,9,12,13,8,13,13,14,9,15,mammutkontsert; tamberg; steinway; eino; uudisteos; festival; interpreet; steinfeld; eesti; nele-eva; traditsioon; noor; nüüdismuusika; publik; muusika
12,9,12,15,8,14,13,15,9,15,mammutkontsert; tamberg; steinway; eino; uudisteos; festival; interpreet; steinfeld; eesti; nele-eva; traditsioon; noor; nüüdismuusika; publik; muusika
10,11,13,13,9,14,12,14,10,15,tamberg; mammutkontsert; steinway; eino; uudisteos; festival; interpreet; steinfeld; eesti; traditsioon; nele-eva; noor; nüüdismuusika; publik; muusika
8,11,12,11,9,12,12,13,10,15,tamberg; mammutkontsert; steinway; eino; uudisteos; festival; interpreet; steinfeld; eesti; traditsioon; nele-eva; noor; nüüdismuusika; publik; muusika
7,9,13,10,9,10,9,12,9,15,tamberg; mammutkontsert; eino; steinway; uudisteos; festival; interpreet; steinfeld; eesti; traditsioon; nele-eva; noor; nüüdismuusika; publik; muusika
9,9,12,10,10,11,8,14,11,15,tamberg; mammutkontsert; eino; steinway; uudisteos; festival; interpreet; steinfeld; eesti; traditsioon; nele-eva; noor; nüüdismuusika; publik; muusika
9,8,12,10,9,12,9,12,10,15,tamberg; mammutkontsert; eino; steinway; uudisteos; interpreet; festival; steinfeld; eesti; traditsioon; nele-eva; noor; nüüdismuusika; publik; muusika
