EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,12,10,10,9,8,8,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,11,12,10,9,9,8,8,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,12,13,10,9,9,8,10,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,11,11,10,10,9,10,8,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,11,13,10,10,10,12,10,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
13,12,13,11,11,8,13,11,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,11,13,12,10,9,9,10,12,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,12,11,13,11,8,11,12,14,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
9,12,10,12,13,8,11,12,14,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,13,12,11,11,8,10,11,14,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
8,10,8,11,12,8,9,12,12,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
