EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,12,6,10,7,11,6,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; narratiiv; margit; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
10,10,10,11,6,10,7,10,6,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; narratiiv; margit; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
10,10,9,11,6,11,9,10,6,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; narratiiv; margit; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
10,10,10,10,5,12,10,12,6,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; narratiiv; margit; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
9,10,11,12,5,10,10,9,6,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; narratiiv; margit; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
9,9,14,11,5,12,9,11,5,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; narratiiv; margit; žestipõhine; kuusk; säde; grigor; meedium; laura; indrek; kuraator
12,10,13,10,6,11,8,8,5,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; narratiiv; margit; žestipõhine; kuusk; säde; grigor; meedium; laura; indrek; kuraator
13,9,11,7,9,11,10,12,6,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; margit; narratiiv; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
12,9,12,7,6,11,10,13,9,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; margit; narratiiv; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
12,8,12,8,7,9,10,9,5,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; margit; narratiiv; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
10,7,10,6,7,6,7,10,7,16,kriitika; kontseptualism; kunstiajalugu; kunst; kaasaegne; margit; narratiiv; žestipõhine; kuusk; säde; meedium; grigor; laura; indrek; kuraator
