EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,6,6,4,4,4,8,7,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
6,6,7,7,4,4,4,8,7,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
6,6,8,6,4,4,5,8,7,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
5,7,8,4,4,6,6,9,8,12,triatlon; sport; tund; jooksma; ujumine; kilomeeter; ain; üheksa; maraton
5,7,8,4,4,7,6,9,7,12,triatlon; sport; tund; jooksma; ujumine; kilomeeter; ain; üheksa; maraton
5,6,8,5,7,7,6,9,8,12,triatlon; sport; tund; jooksma; ujumine; kilomeeter; ain; üheksa; maraton
7,9,6,6,7,7,7,8,8,12,sport; jooksma; ujumine; ain; triatlon; tund; kilomeeter; üheksa; maraton
8,8,5,8,7,6,6,7,8,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
7,7,7,8,9,7,7,5,8,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
7,7,7,8,8,7,8,6,8,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
8,8,5,8,8,5,8,6,7,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
