EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,6,8,3,8,11,10,6,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
11,9,6,8,3,8,11,11,6,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
11,9,6,8,6,9,11,11,6,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
12,9,6,8,4,9,10,11,6,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
12,9,7,8,6,10,11,12,6,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
10,10,9,9,6,10,12,12,7,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
12,11,12,9,6,10,11,14,7,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
12,9,9,8,6,11,11,13,7,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
11,8,11,8,9,9,12,13,7,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
11,9,10,8,6,6,10,14,8,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
10,9,10,10,9,6,11,12,9,16,ungari; temperamentne; ingerimaa; kammerkoor; raud; ellerhein; tõnu; kaljuste; õhtu; tormis; veljo; needmine; laulukonkurss; arvo
