EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,11,11,12,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,11,11,12,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,11,11,12,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,11,11,12,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,11,13,12,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,11,13,12,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,11,13,12,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,11,13,12,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,11,13,13,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,12,13,13,13,13,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
13,12,13,13,13,12,13,13,13,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
