EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,2,3,4,4,4,2,3,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,4,2,3,4,4,4,2,3,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,4,4,3,4,5,4,3,3,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,4,3,3,4,5,5,4,3,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,4,4,3,4,5,5,5,3,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,4,5,5,4,5,7,6,3,19,dekoratiivne; riina; eesti; aasta; autoriteet; heino; sulev
6,5,6,4,4,7,6,6,3,19,dekoratiivne; riina; eesti; aasta; sulev; heino; autoriteet
5,5,7,7,5,6,6,6,3,19,dekoratiivne; riina; eesti; aasta; autoriteet; heino; sulev
4,5,6,6,3,7,7,6,3,19,dekoratiivne; riina; eesti; aasta; autoriteet; heino; sulev
4,6,7,6,6,6,6,6,4,19,dekoratiivne; riina; eesti; aasta; sulev; heino; autoriteet
4,4,7,6,5,5,6,6,5,19,dekoratiivne; riina; eesti; aasta; sulev; heino; autoriteet
