EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,3,5,4,4,4,2,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,5,5,3,5,4,4,5,2,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,6,5,3,5,4,4,5,2,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,6,6,3,5,4,4,5,2,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,6,5,3,5,5,5,4,2,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,5,4,4,5,5,4,4,2,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
6,4,5,3,6,5,3,3,2,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,3,5,4,5,5,4,4,2,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
3,4,6,4,5,5,3,4,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,3,5,3,6,5,4,3,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
3,4,4,3,4,3,4,3,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
