EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,6,7,4,5,3,7,5,18,kristjan; indrek; karulin; regioon; saar; ilves; andrus; ott; ansip; komisjon; euroopa
7,10,6,8,4,5,3,7,5,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
8,10,6,8,4,5,4,6,5,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
8,10,7,8,5,5,4,6,4,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
9,10,8,8,6,5,6,5,4,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
8,9,10,8,9,6,7,6,4,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
8,10,11,10,8,7,7,4,4,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
7,10,11,7,8,8,9,4,8,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
7,9,10,8,9,9,8,7,5,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
6,8,10,8,8,9,9,7,6,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
4,8,10,8,9,8,9,4,7,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
