EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,5,5,3,7,5,7,4,11,orvik; tamm; liivarand; geoloogia; torm; rand; kaarel; prognoos; sadam; kasvuhooneefekt
7,8,6,5,3,7,5,7,4,11,orvik; tamm; liivarand; geoloogia; torm; rand; kaarel; prognoos; sadam; kasvuhooneefekt
7,9,7,5,4,8,5,8,5,11,geoloogia; torm; kaarel; orvik; tamm; liivarand; rand; prognoos; sadam; kasvuhooneefekt
7,9,7,4,4,8,5,8,5,11,geoloogia; torm; kaarel; orvik; tamm; liivarand; rand; prognoos; sadam; kasvuhooneefekt
6,8,8,4,5,8,5,8,5,11,orvik; tamm; liivarand; geoloogia; torm; rand; kaarel; prognoos; sadam; kasvuhooneefekt
6,8,7,7,6,8,6,8,3,11,orvik; tamm; liivarand; geoloogia; torm; rand; kaarel; prognoos; sadam; kasvuhooneefekt
7,4,8,7,8,7,6,7,4,11,orvik; tamm; liivarand; geoloogia; torm; rand; kaarel; prognoos; sadam; kasvuhooneefekt
6,4,7,7,7,6,3,10,3,11,geoloogia; torm; kaarel; orvik; tamm; liivarand; rand; prognoos; sadam; kasvuhooneefekt
5,6,8,8,7,6,7,8,5,11,orvik; tamm; liivarand; geoloogia; torm; rand; kaarel; prognoos; sadam; kasvuhooneefekt
6,5,8,7,7,7,6,7,5,11,orvik; tamm; liivarand; geoloogia; torm; rand; kaarel; prognoos; sadam; kasvuhooneefekt
5,5,9,7,7,7,3,6,6,11,orvik; tamm; liivarand; geoloogia; torm; rand; kaarel; prognoos; sadam; kasvuhooneefekt
