EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,5,8,5,9,7,10,7,14,õppimine; taristu; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
12,7,5,8,5,9,7,11,8,14,õppimine; taristu; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
12,7,5,8,6,9,7,10,8,14,õppimine; taristu; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
13,7,8,8,6,9,8,10,8,14,õppimine; taristu; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
13,8,9,9,8,10,10,10,8,14,õppimine; taristu; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
10,7,11,9,11,9,9,11,9,14,taristu; õppimine; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
10,9,11,9,12,10,9,11,9,14,taristu; õppimine; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
10,6,11,11,11,8,9,9,10,14,taristu; õppimine; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
7,11,12,11,12,8,12,11,11,14,taristu; õppimine; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
9,13,12,12,11,10,12,8,10,14,taristu; õppimine; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
8,11,9,10,9,10,11,10,10,14,taristu; õppimine; soome; tuletis; johannes; mika; sõnavõistlus; keränen; aavik; keelevõistlus; laen; eesti; keel; võimatu
