EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,8,7,5,5,4,7,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
7,8,8,6,5,6,4,8,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
7,8,8,6,5,6,6,8,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
6,9,8,6,5,6,6,8,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
6,9,8,6,4,6,8,8,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
7,8,8,7,4,7,8,9,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
8,7,8,8,6,8,7,8,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
8,8,8,8,7,8,9,9,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
8,8,7,7,7,7,8,6,7,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
8,9,9,8,7,7,9,6,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
8,8,8,8,7,8,8,7,6,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
